Text_Response,HealthLiteracy_Score,HealthNumeracy_Score,TrustInDoctors_Score,AnxietyVisiting_Score,DrugExperience_Rating,Age,Gender_Female,Gender_Male,Gender_Non-binary,Race_Asian,Race_Black,Race_Not Specified,Race_Other,Race_White,"Income_< £30,000","Income_> £50,000","Income_£30,000-£50,000",Education_College Diploma,Education_High School,Education_Postgraduate,Education_University Degree
i feel really anxious before seeing any doctor,6.5,7.4,4.8,7.8,1.9,49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i feel lost when reading health information i get sweaty palms before appointments prescription drugs really helped my chronic pain,3.0,2.5,4.3,8.6,4.3,21,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
doctors have always helped me recover well,4.4,6.3,7.5,3.2,1.7,79,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
medical journals help me stay informed about my condition ive had the same doctor for years and i feel confident in their care,9.7,6.6,9.8,4.0,3.8,55,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i dont get what doctors say most of the time,3.0,3.4,5.6,3.9,1.7,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
my physician always listens to me,3.4,1.3,7.3,5.4,1.4,75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
medical terms confuse me a lot some drugs caused side effects but i worked with my doctor to adjust,2.5,1.9,6.5,1.8,4.0,54,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
i often nod even when i dont understand i feel really anxious before seeing any doctor ive had the same doctor for years and i feel confident in their care,1.2,3.2,9.0,7.5,1.3,26,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
medical journals help me stay informed about my condition doctors have always helped me recover well,8.4,5.4,8.6,6.4,3.7,54,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
i understand most medical terms and ask informed questions,9.9,3.1,6.6,5.1,1.2,24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
its hard to follow what my doctor says,1.1,2.1,6.8,6.1,3.2,77,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i feel lost when reading health information i trust my doctor and their advice completely,1.3,5.2,9.3,4.6,3.5,47,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
my doctor uses terminology i understand well i get sweaty palms before appointments,8.0,8.1,5.7,8.7,2.6,79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i always research symptoms and medication before appointments medication has been effective in managing my symptoms,9.0,3.2,3.5,1.5,4.2,50,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
i feel really anxious before seeing any doctor after a few trials i found the right medication for my condition,4.8,3.1,3.1,9.1,4.3,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
some drugs caused side effects but i worked with my doctor to adjust,6.0,6.5,5.3,4.5,4.7,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
i feel lost when reading health information,2.1,4.8,4.1,5.5,2.8,54,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
medical terms confuse me a lot,1.6,7.9,4.8,6.6,3.9,51,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
i always research symptoms and medication before appointments,7.1,5.2,4.5,4.4,3.6,32,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i trust my doctor and their advice completely,5.5,8.6,8.9,2.5,1.5,69,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
i get sweaty palms before appointments,6.7,3.7,1.2,9.0,1.9,22,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i always research symptoms and medication before appointments my trust in healthcare professionals is very high,9.4,7.5,7.9,2.8,1.9,24,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
i feel lost when reading health information,2.8,8.1,2.5,1.3,3.5,43,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
my doctor uses terminology i understand well after a few trials i found the right medication for my condition,9.8,4.0,2.1,6.1,4.6,61,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
medical journals help me stay informed about my condition,8.1,6.6,3.8,5.9,1.4,29,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
i understand most medical terms and ask informed questions doctors have always helped me recover well,7.1,7.5,9.7,3.3,1.1,48,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i trust my doctor and their advice completely,5.9,7.4,8.1,2.7,2.0,41,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ive had the same doctor for years and i feel confident in their care medication has been effective in managing my symptoms,5.6,4.0,8.7,5.3,4.2,47,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i feel really anxious before seeing any doctor,6.2,8.0,4.0,8.5,2.1,25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i feel confident navigating health portals and understanding prescriptions i feel really anxious before seeing any doctor my physician always listens to me,9.7,2.4,8.1,9.9,1.1,76,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
i understand most medical terms and ask informed questions medication has been effective in managing my symptoms,7.3,3.3,1.4,4.6,4.7,40,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i often nod even when i dont understand i get sweaty palms before appointments,1.1,6.3,5.5,8.9,1.3,50,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
medical journals help me stay informed about my condition i feel really anxious before seeing any doctor doctors have always helped me recover well medication has been effective in managing my symptoms,7.1,7.1,7.0,9.5,4.3,39,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i feel lost when reading health information,1.4,5.2,4.6,3.8,2.8,79,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ive had the same doctor for years and i feel confident in their care i have had mostly positive experiences with prescribed medications,4.5,4.9,9.8,1.8,4.7,63,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
i trust my doctor and their advice completely,5.3,6.6,8.5,4.2,2.7,79,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
i feel really anxious before seeing any doctor doctors have always helped me recover well,4.7,4.4,9.3,8.5,1.4,20,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
medical terms confuse me a lot,2.0,4.9,1.9,6.6,1.6,77,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
i feel really anxious before seeing any doctor,5.7,1.1,3.8,7.1,2.9,24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
medical journals help me stay informed about my condition some drugs caused side effects but i worked with my doctor to adjust,9.8,8.9,4.2,1.4,4.4,57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i always research symptoms and medication before appointments visiting the doctor makes me nervous,9.2,8.4,2.2,10.0,2.0,56,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
my doctor uses terminology i understand well i avoid going to hospitals unless absolutely necessary,7.5,9.2,3.1,9.2,2.2,42,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
my doctor uses terminology i understand well doctors have always helped me recover well,9.8,3.5,9.6,1.5,3.8,49,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
i feel really anxious before seeing any doctor,5.8,5.3,3.0,7.4,1.8,70,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
doctors have always helped me recover well,6.0,3.3,9.6,1.3,1.8,31,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i have had mostly positive experiences with prescribed medications,3.2,4.7,3.1,5.4,4.5,54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
i understand most medical terms and ask informed questions i avoid going to hospitals unless absolutely necessary,7.4,6.2,1.8,7.2,1.7,49,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
medical journals help me stay informed about my condition medication has been effective in managing my symptoms,8.1,3.3,4.8,4.2,4.4,40,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
medical terms confuse me a lot i get sweaty palms before appointments some drugs caused side effects but i worked with my doctor to adjust,2.1,6.1,2.3,7.3,4.6,58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
my trust in healthcare professionals is very high,4.9,5.4,9.3,5.7,3.0,24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i avoid going to hospitals unless absolutely necessary,6.2,7.2,2.0,8.4,2.7,52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i often nod even when i dont understand,1.7,8.1,4.4,1.9,3.5,42,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
medical journals help me stay informed about my condition i get sweaty palms before appointments i trust my doctor and their advice completely,8.9,9.0,9.6,8.8,1.0,22,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
medication has been effective in managing my symptoms,4.3,9.1,5.5,5.2,5.0,77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
clinics give me panic attacks sometimes i have had mostly positive experiences with prescribed medications,5.4,2.6,5.6,8.3,4.1,34,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
my doctor uses terminology i understand well visiting the doctor makes me nervous after a few trials i found the right medication for my condition,8.1,7.4,3.3,8.8,4.6,70,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i often nod even when i dont understand i feel really anxious before seeing any doctor doctors have always helped me recover well i have had mostly positive experiences with prescribed medications,2.7,2.2,9.8,8.8,4.6,69,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
my doctor uses terminology i understand well,9.0,5.9,6.8,5.9,1.2,65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
medical journals help me stay informed about my condition,7.7,5.5,6.8,5.5,3.0,35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i often nod even when i dont understand prescription drugs really helped my chronic pain,2.5,3.5,2.4,2.8,4.9,50,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
i dont get what doctors say most of the time,2.4,3.4,6.3,6.5,1.6,19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
my doctor uses terminology i understand well medication has been effective in managing my symptoms,8.1,8.1,3.1,3.6,4.8,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
medical journals help me stay informed about my condition,8.4,7.3,1.7,4.8,3.2,62,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i often nod even when i dont understand medication has been effective in managing my symptoms,2.7,5.0,6.4,3.9,4.1,25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
i understand most medical terms and ask informed questions i trust my doctor and their advice completely prescription drugs really helped my chronic pain,8.6,3.9,8.5,1.9,4.4,76,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i dont get what doctors say most of the time prescription drugs really helped my chronic pain,2.4,1.7,6.8,5.2,4.6,44,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i feel confident navigating health portals and understanding prescriptions i get sweaty palms before appointments my physician always listens to me,7.2,7.8,8.7,9.8,2.1,46,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i always research symptoms and medication before appointments i trust my doctor and their advice completely after a few trials i found the right medication for my condition,7.4,4.5,7.1,5.3,5.0,36,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
my doctor uses terminology i understand well visiting the doctor makes me nervous ive had the same doctor for years and i feel confident in their care some drugs caused side effects but i worked with my doctor to adjust,7.6,9.6,8.5,9.1,4.3,34,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i feel really anxious before seeing any doctor ive had the same doctor for years and i feel confident in their care,5.5,5.7,9.8,9.2,1.6,51,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i feel really anxious before seeing any doctor,4.3,4.8,4.2,8.2,3.1,75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
my trust in healthcare professionals is very high,6.1,8.7,8.3,2.2,3.9,31,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i trust my doctor and their advice completely,3.3,7.3,7.9,3.2,1.2,20,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
i understand most medical terms and ask informed questions doctors have always helped me recover well,8.6,1.1,9.4,6.6,2.3,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i dont get what doctors say most of the time,2.5,5.8,6.3,3.7,1.1,49,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
i feel lost when reading health information i trust my doctor and their advice completely some drugs caused side effects but i worked with my doctor to adjust,1.3,1.2,7.7,3.9,4.2,32,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
i avoid going to hospitals unless absolutely necessary,4.9,5.1,5.6,7.4,2.1,20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i feel lost when reading health information,2.1,6.0,3.9,5.0,3.6,69,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i avoid going to hospitals unless absolutely necessary,5.4,6.6,5.9,7.7,3.8,45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
my physician always listens to me,5.8,7.1,8.9,4.9,2.7,72,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
my doctor uses terminology i understand well i feel really anxious before seeing any doctor,7.9,6.2,1.6,9.0,1.1,79,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
i understand most medical terms and ask informed questions ive had the same doctor for years and i feel confident in their care,7.7,7.8,9.6,1.5,3.4,35,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
i dont get what doctors say most of the time i avoid going to hospitals unless absolutely necessary my trust in healthcare professionals is very high some drugs caused side effects but i worked with my doctor to adjust,1.9,6.5,7.6,7.9,4.6,41,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i trust my doctor and their advice completely,4.7,9.6,8.8,3.7,1.6,71,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
medication has been effective in managing my symptoms,4.9,4.6,6.2,6.3,4.0,46,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
my trust in healthcare professionals is very high after a few trials i found the right medication for my condition,5.6,1.9,8.7,3.8,4.9,58,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
its hard to follow what my doctor says,2.1,9.6,1.8,3.1,1.2,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
my doctor uses terminology i understand well clinics give me panic attacks sometimes,7.3,8.7,4.9,9.4,3.4,29,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
prescription drugs really helped my chronic pain,6.7,8.6,3.7,4.2,4.6,58,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i understand most medical terms and ask informed questions ive had the same doctor for years and i feel confident in their care after a few trials i found the right medication for my condition,9.1,9.8,9.1,2.1,4.3,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
i get sweaty palms before appointments i trust my doctor and their advice completely,3.9,1.7,9.1,8.2,1.6,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
i understand most medical terms and ask informed questions medication has been effective in managing my symptoms,8.0,6.6,4.7,3.3,4.4,56,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i feel confident navigating health portals and understanding prescriptions,7.3,5.9,6.5,1.8,2.9,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
i often nod even when i dont understand clinics give me panic attacks sometimes i trust my doctor and their advice completely,2.7,2.9,7.0,9.2,2.6,54,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
i often nod even when i dont understand visiting the doctor makes me nervous ive had the same doctor for years and i feel confident in their care i have had mostly positive experiences with prescribed medications,2.9,6.8,8.8,7.7,4.5,38,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
my trust in healthcare professionals is very high,5.6,9.4,8.9,2.2,1.7,77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
clinics give me panic attacks sometimes medication has been effective in managing my symptoms,4.2,3.6,6.5,9.1,4.8,31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
i understand most medical terms and ask informed questions i feel really anxious before seeing any doctor my trust in healthcare professionals is very high,9.6,5.0,7.8,7.8,2.1,54,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
i avoid going to hospitals unless absolutely necessary,6.1,9.0,5.3,9.5,1.9,69,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
i often nod even when i dont understand clinics give me panic attacks sometimes ive had the same doctor for years and i feel confident in their care,1.7,9.0,8.6,9.9,3.7,35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
my doctor uses terminology i understand well doctors have always helped me recover well,9.4,8.4,8.6,6.1,2.5,32,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i understand most medical terms and ask informed questions,9.4,4.9,5.8,5.0,3.3,64,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
my trust in healthcare professionals is very high,5.2,1.4,8.9,5.0,3.4,50,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
i feel lost when reading health information clinics give me panic attacks sometimes,2.3,1.0,3.2,7.3,1.4,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
i understand most medical terms and ask informed questions,9.2,2.9,2.8,2.6,1.1,67,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
i always research symptoms and medication before appointments,7.9,8.9,6.5,2.7,2.1,34,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
clinics give me panic attacks sometimes,5.3,9.6,3.2,7.6,2.8,44,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
i feel really anxious before seeing any doctor,3.7,5.1,1.6,8.2,2.0,75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
i always research symptoms and medication before appointments my physician always listens to me after a few trials i found the right medication for my condition,7.5,1.6,9.6,2.7,4.5,44,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
i always research symptoms and medication before appointments clinics give me panic attacks sometimes,8.3,9.7,5.3,7.5,2.5,71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
medical terms confuse me a lot visiting the doctor makes me nervous,2.7,5.0,2.5,9.8,1.4,50,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i feel really anxious before seeing any doctor,6.3,6.6,5.8,7.0,1.5,62,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
i feel really anxious before seeing any doctor i trust my doctor and their advice completely some drugs caused side effects but i worked with my doctor to adjust,6.0,3.6,9.5,7.9,4.9,39,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
its hard to follow what my doctor says,1.3,3.6,2.8,1.1,2.0,78,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
i understand most medical terms and ask informed questions i get sweaty palms before appointments,7.1,3.1,5.6,9.0,3.8,36,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
doctors have always helped me recover well,4.3,8.7,7.8,6.5,2.5,61,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
medical terms confuse me a lot,2.9,8.0,5.4,3.0,1.8,29,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
i often nod even when i dont understand,2.5,8.0,3.1,5.7,2.8,37,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
i trust my doctor and their advice completely,6.2,8.9,8.8,5.1,1.1,38,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ive had the same doctor for years and i feel confident in their care,6.8,2.6,7.8,4.1,3.8,54,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
its hard to follow what my doctor says my physician always listens to me prescription drugs really helped my chronic pain,1.4,4.7,7.3,3.0,4.2,28,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
i feel lost when reading health information i get sweaty palms before appointments my physician always listens to me,1.1,3.7,7.7,8.1,1.8,53,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i feel confident navigating health portals and understanding prescriptions i get sweaty palms before appointments doctors have always helped me recover well,9.6,5.5,9.3,7.4,3.9,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
i often nod even when i dont understand i feel really anxious before seeing any doctor,1.8,3.0,1.1,7.4,2.4,64,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
medical journals help me stay informed about my condition ive had the same doctor for years and i feel confident in their care,8.1,4.1,8.4,2.2,1.7,63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
i avoid going to hospitals unless absolutely necessary,4.1,4.7,4.1,7.9,1.4,23,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i avoid going to hospitals unless absolutely necessary prescription drugs really helped my chronic pain,4.2,8.5,1.6,9.5,4.9,69,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i often nod even when i dont understand i feel really anxious before seeing any doctor,1.8,3.6,4.4,8.0,3.4,50,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
