Text_Response,HealthLiteracy_Score,HealthNumeracy_Score,TrustInDoctors_Score,AnxietyVisiting_Score,DrugExperience_Rating,Age,Gender,Race,Income,Education
"I get sweaty palms before appointments. Some drugs caused side effects, but I worked with my doctor to adjust.",5.1,5.4,2.5,9.5,4.4,49,Male,Asian,"> £50,000",Postgraduate
Medical journals help me stay informed about my condition.,7.0,5.2,4.7,6.9,3.2,62,Female,Other,"< £30,000",University Degree
I often nod even when I don’t understand. My physician always listens to me.,1.6,5.6,8.3,5.1,1.2,29,Non-binary,Other,"< £30,000",College Diploma
Medical journals help me stay informed about my condition.,8.1,2.8,3.3,2.5,2.3,69,Female,White,"> £50,000",Postgraduate
"I feel confident navigating health portals and understanding prescriptions. Clinics give me panic attacks sometimes. Some drugs caused side effects, but I worked with my doctor to adjust.",7.8,5.7,2.8,8.9,4.5,53,Non-binary,Black,"£30,000-£50,000",College Diploma
"I understand most medical terms and ask informed questions. Clinics give me panic attacks sometimes. After a few trials, I found the right medication for my condition.",8.8,3.1,5.1,9.9,4.1,59,Male,Other,"£30,000-£50,000",High School
I don’t get what doctors say most of the time. Clinics give me panic attacks sometimes.,1.2,1.6,5.2,9.2,3.2,35,Female,Not Specified,"> £50,000",High School
Clinics give me panic attacks sometimes.,5.5,1.9,6.9,8.4,2.5,69,Non-binary,Not Specified,"< £30,000",Postgraduate
My doctor uses terminology I understand well.,8.0,9.7,2.8,5.7,2.1,73,Female,Asian,"< £30,000",College Diploma
My doctor uses terminology I understand well. I get sweaty palms before appointments.,8.1,6.2,6.7,8.2,2.6,79,Non-binary,White,"> £50,000",Postgraduate
I feel confident navigating health portals and understanding prescriptions. Visiting the doctor makes me nervous. Medication has been effective in managing my symptoms.,9.2,5.8,2.4,7.3,4.2,63,Male,Other,"< £30,000",University Degree
"I’ve had the same doctor for years, and I feel confident in their care. I have had mostly positive experiences with prescribed medications.",3.9,8.7,9.2,3.5,4.9,52,Non-binary,Asian,"£30,000-£50,000",University Degree
I often nod even when I don’t understand. Clinics give me panic attacks sometimes.,2.3,2.8,2.7,9.0,3.6,74,Female,Other,"< £30,000",Postgraduate
"Medical terms confuse me a lot. After a few trials, I found the right medication for my condition.",2.4,5.0,6.5,1.8,4.5,41,Female,Other,"< £30,000",College Diploma
I feel confident navigating health portals and understanding prescriptions. My physician always listens to me. Prescription drugs really helped my chronic pain.,8.2,5.5,9.7,4.8,4.9,34,Non-binary,Not Specified,"> £50,000",Postgraduate
Medical journals help me stay informed about my condition. I get sweaty palms before appointments.,7.0,6.7,2.5,8.9,2.7,39,Male,Other,"> £50,000",College Diploma
It’s hard to follow what my doctor says.,2.5,1.1,6.0,5.7,3.9,59,Non-binary,Asian,"£30,000-£50,000",Postgraduate
I understand most medical terms and ask informed questions. Doctors have always helped me recover well. Prescription drugs really helped my chronic pain.,9.0,1.7,7.6,2.7,4.4,47,Male,Asian,"< £30,000",College Diploma
I always research symptoms and medication before appointments. I trust my doctor and their advice completely.,8.4,5.9,7.4,3.8,2.9,76,Non-binary,White,"> £50,000",High School
I always research symptoms and medication before appointments. Prescription drugs really helped my chronic pain.,8.4,5.1,4.2,5.4,4.3,66,Male,Other,"< £30,000",College Diploma
I feel really anxious before seeing any doctor. My trust in healthcare professionals is very high.,4.0,2.6,7.4,8.4,1.4,18,Male,Not Specified,"£30,000-£50,000",University Degree
"After a few trials, I found the right medication for my condition.",3.2,2.3,4.1,5.1,4.0,58,Non-binary,Not Specified,"£30,000-£50,000",Postgraduate
I feel really anxious before seeing any doctor.,6.9,6.6,4.2,8.6,2.9,18,Non-binary,Not Specified,"£30,000-£50,000",High School
I always research symptoms and medication before appointments. I get sweaty palms before appointments.,9.8,6.7,2.1,7.1,2.3,51,Non-binary,Asian,"> £50,000",University Degree
I always research symptoms and medication before appointments. I get sweaty palms before appointments.,7.2,1.6,2.6,8.7,1.9,70,Non-binary,Other,"< £30,000",High School
I feel confident navigating health portals and understanding prescriptions. I avoid going to hospitals unless absolutely necessary.,8.5,3.5,6.8,7.2,3.1,27,Male,Black,"> £50,000",University Degree
,3.7,2.9,1.3,3.7,3.6,68,Female,White,"£30,000-£50,000",Postgraduate
I feel confident navigating health portals and understanding prescriptions. I feel really anxious before seeing any doctor. I trust my doctor and their advice completely.,9.4,8.8,7.9,8.1,3.7,47,Non-binary,Black,"> £50,000",College Diploma
I trust my doctor and their advice completely.,3.3,9.2,7.0,6.0,1.4,23,Female,Other,"£30,000-£50,000",Postgraduate
Doctors have always helped me recover well.,5.0,5.1,8.8,5.9,2.5,58,Male,Black,"< £30,000",Postgraduate
My doctor uses terminology I understand well. Prescription drugs really helped my chronic pain.,9.8,2.0,4.8,1.4,4.0,59,Female,Not Specified,"< £30,000",High School
"I always research symptoms and medication before appointments. I trust my doctor and their advice completely. Some drugs caused side effects, but I worked with my doctor to adjust.",9.3,3.5,8.7,3.6,4.6,75,Non-binary,Not Specified,"£30,000-£50,000",University Degree
My doctor uses terminology I understand well. I avoid going to hospitals unless absolutely necessary.,7.8,8.2,1.2,9.7,3.9,75,Non-binary,Not Specified,"> £50,000",High School
I feel really anxious before seeing any doctor.,3.7,8.5,3.5,8.9,1.5,19,Male,Not Specified,"< £30,000",Postgraduate
I understand most medical terms and ask informed questions.,7.3,5.9,1.9,3.2,1.0,37,Male,Not Specified,"< £30,000",Postgraduate
,5.2,3.7,6.4,3.7,2.2,39,Female,Black,"> £50,000",High School
Medical journals help me stay informed about my condition. Clinics give me panic attacks sometimes. I trust my doctor and their advice completely.,7.7,1.4,9.1,8.7,3.7,50,Non-binary,Asian,"< £30,000",High School
,6.3,9.0,2.7,1.7,2.0,39,Non-binary,Not Specified,"> £50,000",Postgraduate
Medical journals help me stay informed about my condition. Visiting the doctor makes me nervous. Prescription drugs really helped my chronic pain.,8.2,1.3,6.2,10.0,4.4,80,Female,White,"> £50,000",University Degree
My trust in healthcare professionals is very high.,5.7,1.6,8.5,6.4,1.5,40,Non-binary,Other,"£30,000-£50,000",College Diploma
"Medical terms confuse me a lot. I feel really anxious before seeing any doctor. I trust my doctor and their advice completely. Some drugs caused side effects, but I worked with my doctor to adjust.",1.8,9.2,7.0,8.5,4.5,60,Female,White,"> £50,000",University Degree
,6.1,5.7,4.9,3.9,2.7,27,Female,Black,"> £50,000",Postgraduate
I feel confident navigating health portals and understanding prescriptions. Doctors have always helped me recover well.,8.0,6.4,9.0,5.0,3.4,38,Female,White,"< £30,000",High School
My physician always listens to me.,6.7,6.3,7.3,3.1,3.0,41,Female,White,"< £30,000",High School
"I don’t get what doctors say most of the time. After a few trials, I found the right medication for my condition.",1.9,4.5,5.4,6.9,4.8,45,Female,Not Specified,"> £50,000",Postgraduate
,6.4,7.7,5.6,6.7,1.3,23,Female,Not Specified,"< £30,000",University Degree
,3.3,4.3,5.3,1.4,1.6,73,Female,White,"£30,000-£50,000",Postgraduate
,3.5,9.7,4.0,5.3,1.8,42,Male,Not Specified,"< £30,000",College Diploma
,6.5,3.5,2.9,5.6,1.0,61,Female,Black,"< £30,000",University Degree
Medical terms confuse me a lot.,1.1,3.0,1.3,2.0,2.4,37,Female,Other,"< £30,000",High School
"I always research symptoms and medication before appointments. Some drugs caused side effects, but I worked with my doctor to adjust.",8.2,6.1,5.6,3.6,4.7,45,Female,Other,"£30,000-£50,000",Postgraduate
,4.6,1.8,6.6,2.0,2.4,34,Male,Other,"> £50,000",College Diploma
"Visiting the doctor makes me nervous. Some drugs caused side effects, but I worked with my doctor to adjust.",5.6,8.9,5.4,7.3,5.0,47,Male,Black,"£30,000-£50,000",High School
I often nod even when I don’t understand.,2.2,3.5,4.6,4.8,2.6,71,Non-binary,Other,"£30,000-£50,000",Postgraduate
I feel confident navigating health portals and understanding prescriptions. I have had mostly positive experiences with prescribed medications.,9.2,7.4,6.5,3.8,4.3,45,Non-binary,Not Specified,"< £30,000",University Degree
My doctor uses terminology I understand well.,9.6,8.4,1.0,6.7,1.2,78,Non-binary,Black,"£30,000-£50,000",University Degree
I get sweaty palms before appointments.,3.3,1.5,6.4,7.2,1.5,79,Female,Asian,"£30,000-£50,000",Postgraduate
,4.5,5.1,4.3,2.1,2.7,68,Male,Asian,"£30,000-£50,000",University Degree
I understand most medical terms and ask informed questions. I have had mostly positive experiences with prescribed medications.,7.8,1.6,1.7,4.2,4.8,70,Female,Asian,"< £30,000",College Diploma
My doctor uses terminology I understand well.,7.0,7.1,4.3,6.3,1.0,29,Non-binary,Not Specified,"< £30,000",Postgraduate
Clinics give me panic attacks sometimes.,6.7,9.2,6.5,8.9,3.9,46,Female,White,"£30,000-£50,000",Postgraduate
It’s hard to follow what my doctor says.,2.1,9.1,1.6,5.8,1.6,58,Female,Black,"£30,000-£50,000",College Diploma
I feel lost when reading health information.,1.1,4.8,3.7,5.4,3.3,68,Female,White,"£30,000-£50,000",Postgraduate
I feel lost when reading health information.,1.4,2.1,6.0,4.1,3.9,43,Non-binary,Not Specified,"> £50,000",Postgraduate
I trust my doctor and their advice completely.,6.9,8.6,7.2,4.9,3.7,20,Female,Not Specified,"> £50,000",High School
My trust in healthcare professionals is very high. Medication has been effective in managing my symptoms.,3.5,3.8,8.1,5.0,4.2,67,Male,Asian,"< £30,000",High School
"I always research symptoms and medication before appointments. I’ve had the same doctor for years, and I feel confident in their care.",8.4,8.7,9.2,4.9,2.3,79,Female,Other,"< £30,000",High School
Visiting the doctor makes me nervous.,6.2,4.3,6.4,7.4,3.8,32,Non-binary,Not Specified,"> £50,000",College Diploma
"Some drugs caused side effects, but I worked with my doctor to adjust.",4.4,2.5,4.9,2.3,4.6,41,Female,Other,"> £50,000",College Diploma
,4.1,2.4,1.2,6.8,3.5,19,Female,White,"£30,000-£50,000",Postgraduate
,4.1,1.6,4.7,3.8,3.7,76,Male,White,"> £50,000",College Diploma
I get sweaty palms before appointments.,6.5,4.3,3.0,9.9,2.8,40,Female,Asian,"£30,000-£50,000",College Diploma
Medical journals help me stay informed about my condition.,7.2,2.3,5.4,1.2,3.0,48,Female,Other,"< £30,000",Postgraduate
I always research symptoms and medication before appointments.,9.7,4.5,1.4,1.3,2.6,38,Male,Asian,"< £30,000",High School
Medical terms confuse me a lot. My trust in healthcare professionals is very high.,2.4,1.2,7.8,5.1,2.2,72,Female,White,"> £50,000",College Diploma
Medical journals help me stay informed about my condition. My physician always listens to me. Medication has been effective in managing my symptoms.,9.1,2.0,9.6,3.8,4.6,29,Non-binary,Black,"£30,000-£50,000",Postgraduate
"Doctors have always helped me recover well. After a few trials, I found the right medication for my condition.",6.4,8.4,9.9,3.6,4.8,58,Male,Black,"> £50,000",Postgraduate
,4.5,4.5,4.1,5.9,1.6,65,Non-binary,Black,"£30,000-£50,000",Postgraduate
I feel really anxious before seeing any doctor. My trust in healthcare professionals is very high.,6.0,5.9,7.9,8.5,2.8,42,Male,Black,"< £30,000",University Degree
,3.7,3.3,2.8,1.5,2.4,24,Non-binary,Black,"£30,000-£50,000",University Degree
,3.4,9.7,6.0,4.1,3.3,30,Female,White,"£30,000-£50,000",Postgraduate
I feel lost when reading health information.,2.3,5.0,6.6,5.4,2.6,51,Non-binary,Asian,"> £50,000",Postgraduate
Medical journals help me stay informed about my condition.,9.9,8.9,6.6,6.1,3.5,43,Non-binary,White,"£30,000-£50,000",University Degree
Medical terms confuse me a lot.,2.8,4.6,1.4,5.3,3.2,57,Male,Asian,"> £50,000",High School
Medical terms confuse me a lot. I avoid going to hospitals unless absolutely necessary. My physician always listens to me.,3.0,9.7,9.2,7.5,3.1,38,Male,Black,"£30,000-£50,000",High School
I understand most medical terms and ask informed questions. Doctors have always helped me recover well. Medication has been effective in managing my symptoms.,8.8,2.2,8.1,2.1,4.2,50,Female,Other,"> £50,000",College Diploma
My trust in healthcare professionals is very high.,3.5,8.9,9.5,2.3,2.9,29,Female,Not Specified,"> £50,000",College Diploma
I feel confident navigating health portals and understanding prescriptions. Doctors have always helped me recover well.,9.8,5.4,8.8,6.3,2.5,28,Female,Asian,"< £30,000",College Diploma
My physician always listens to me.,3.6,2.8,7.9,4.5,3.0,57,Male,Asian,"< £30,000",Postgraduate
Visiting the doctor makes me nervous. Doctors have always helped me recover well.,5.4,6.2,8.8,9.8,2.6,30,Female,Not Specified,"> £50,000",Postgraduate
I always research symptoms and medication before appointments. I get sweaty palms before appointments.,8.4,7.9,6.2,9.6,1.8,44,Non-binary,Other,"£30,000-£50,000",College Diploma
"Medical terms confuse me a lot. I get sweaty palms before appointments. Some drugs caused side effects, but I worked with my doctor to adjust.",2.0,8.7,5.0,8.6,4.6,19,Male,Asian,"< £30,000",University Degree
I feel lost when reading health information.,1.6,9.0,5.0,5.6,3.5,28,Female,Not Specified,"> £50,000",Postgraduate
I understand most medical terms and ask informed questions. I avoid going to hospitals unless absolutely necessary.,9.3,1.2,5.3,7.2,3.9,50,Male,Not Specified,"< £30,000",University Degree
"Medical journals help me stay informed about my condition. After a few trials, I found the right medication for my condition.",7.2,2.2,3.7,4.2,4.2,52,Male,Other,"> £50,000",College Diploma
"Doctors have always helped me recover well. Some drugs caused side effects, but I worked with my doctor to adjust.",3.5,2.9,9.6,1.1,5.0,65,Non-binary,Black,"£30,000-£50,000",High School
My doctor uses terminology I understand well. I have had mostly positive experiences with prescribed medications.,7.1,8.5,3.7,1.1,4.0,40,Male,Other,"< £30,000",College Diploma
My doctor uses terminology I understand well. I get sweaty palms before appointments. Prescription drugs really helped my chronic pain.,8.5,7.7,2.3,7.8,4.1,62,Female,Not Specified,"> £50,000",Postgraduate
My trust in healthcare professionals is very high.,6.9,7.9,8.6,6.5,1.4,68,Male,Black,"< £30,000",University Degree
,5.4,1.7,4.7,4.7,1.3,35,Non-binary,Not Specified,"< £30,000",University Degree
I get sweaty palms before appointments. I trust my doctor and their advice completely.,4.1,2.0,8.3,9.5,1.3,80,Non-binary,Asian,"£30,000-£50,000",University Degree
My doctor uses terminology I understand well.,9.6,5.7,3.7,1.7,3.0,26,Female,White,"£30,000-£50,000",College Diploma
Medical journals help me stay informed about my condition.,8.2,7.4,1.5,1.7,2.6,33,Male,Asian,"< £30,000",Postgraduate
Visiting the doctor makes me nervous. Medication has been effective in managing my symptoms.,3.7,3.1,3.5,8.2,4.7,27,Non-binary,Asian,"> £50,000",Postgraduate
,4.6,9.2,3.9,5.3,1.9,22,Non-binary,White,"£30,000-£50,000",University Degree
,6.8,9.8,6.4,4.2,3.6,62,Female,Other,"£30,000-£50,000",University Degree
I often nod even when I don’t understand.,2.1,9.0,5.5,5.0,3.3,55,Male,White,"> £50,000",Postgraduate
Doctors have always helped me recover well.,6.6,1.6,7.1,3.2,3.9,72,Male,Not Specified,"£30,000-£50,000",College Diploma
I feel confident navigating health portals and understanding prescriptions.,8.4,8.2,6.0,5.7,1.6,70,Male,Other,"£30,000-£50,000",University Degree
I feel confident navigating health portals and understanding prescriptions.,8.0,3.4,5.5,3.6,1.5,39,Non-binary,Not Specified,"< £30,000",Postgraduate
Doctors have always helped me recover well.,6.7,1.5,7.7,3.9,1.0,75,Non-binary,White,"< £30,000",High School
I feel really anxious before seeing any doctor.,5.6,1.4,3.5,7.4,1.3,19,Male,Black,"£30,000-£50,000",Postgraduate
I feel confident navigating health portals and understanding prescriptions. Clinics give me panic attacks sometimes.,8.6,1.0,3.2,7.7,2.3,79,Female,Black,"> £50,000",College Diploma
I often nod even when I don’t understand. I feel really anxious before seeing any doctor.,1.9,4.2,3.4,8.6,2.3,73,Female,White,"> £50,000",University Degree
I feel confident navigating health portals and understanding prescriptions. Clinics give me panic attacks sometimes.,8.1,9.0,4.9,9.2,2.5,41,Non-binary,Black,"< £30,000",Postgraduate
I always research symptoms and medication before appointments. My physician always listens to me.,9.7,1.8,7.2,5.4,2.6,45,Non-binary,White,"> £50,000",High School
,6.7,7.3,1.0,2.5,3.9,48,Male,Black,"> £50,000",College Diploma
I feel confident navigating health portals and understanding prescriptions. I feel really anxious before seeing any doctor. Doctors have always helped me recover well.,7.0,9.7,7.8,9.6,3.8,51,Non-binary,Other,"< £30,000",High School
Doctors have always helped me recover well.,3.7,1.9,8.0,6.8,1.2,62,Male,Other,"< £30,000",College Diploma
,4.2,9.6,5.5,4.9,2.8,23,Non-binary,White,"< £30,000",University Degree
"Medical terms confuse me a lot. After a few trials, I found the right medication for my condition.",2.9,4.3,4.3,1.5,4.1,41,Female,Black,"£30,000-£50,000",College Diploma
Doctors have always helped me recover well.,4.7,8.4,8.7,2.9,3.6,51,Non-binary,White,"> £50,000",College Diploma
Visiting the doctor makes me nervous.,5.3,8.9,2.9,7.1,3.4,40,Non-binary,Black,"> £50,000",College Diploma
I feel really anxious before seeing any doctor.,3.7,2.2,6.9,7.6,2.3,57,Non-binary,Other,"< £30,000",High School
"I’ve had the same doctor for years, and I feel confident in their care. Medication has been effective in managing my symptoms.",6.8,4.6,7.4,2.8,4.6,26,Male,Not Specified,"> £50,000",Postgraduate
,3.6,4.3,1.5,2.0,3.1,38,Male,Black,"£30,000-£50,000",High School
,3.4,8.5,1.1,4.4,2.3,33,Non-binary,Not Specified,"> £50,000",University Degree
Medical terms confuse me a lot.,1.2,2.1,4.7,5.4,2.6,67,Non-binary,White,"> £50,000",University Degree
"Some drugs caused side effects, but I worked with my doctor to adjust.",5.8,6.4,1.1,5.2,4.9,51,Non-binary,Not Specified,"< £30,000",Postgraduate
I feel really anxious before seeing any doctor. Prescription drugs really helped my chronic pain.,5.7,7.1,3.8,8.0,4.1,59,Male,Black,"£30,000-£50,000",Postgraduate
"Some drugs caused side effects, but I worked with my doctor to adjust.",5.7,9.8,2.1,1.2,4.1,49,Non-binary,Not Specified,"< £30,000",High School
I feel confident navigating health portals and understanding prescriptions.,8.3,2.1,3.4,1.2,2.2,77,Female,Black,"£30,000-£50,000",Postgraduate
I always research symptoms and medication before appointments.,8.0,5.7,4.1,4.3,1.0,52,Non-binary,Black,"£30,000-£50,000",High School
I feel really anxious before seeing any doctor. I trust my doctor and their advice completely.,3.7,6.8,9.8,8.6,1.1,55,Male,White,"£30,000-£50,000",College Diploma
Medical journals help me stay informed about my condition. Doctors have always helped me recover well.,9.1,8.0,8.0,5.1,2.6,78,Female,Not Specified,"£30,000-£50,000",Postgraduate
,3.7,1.6,3.1,3.2,2.9,23,Non-binary,Not Specified,"> £50,000",College Diploma
"My doctor uses terminology I understand well. I get sweaty palms before appointments. Some drugs caused side effects, but I worked with my doctor to adjust.",7.7,5.3,1.5,9.6,4.8,35,Male,Asian,"< £30,000",College Diploma
My doctor uses terminology I understand well. I feel really anxious before seeing any doctor.,8.1,9.9,5.9,9.7,1.3,43,Non-binary,White,"£30,000-£50,000",Postgraduate
,4.3,3.0,2.8,2.3,3.5,33,Male,Other,"< £30,000",Postgraduate
I always research symptoms and medication before appointments. I feel really anxious before seeing any doctor.,8.0,6.2,2.3,8.3,3.5,57,Non-binary,White,"£30,000-£50,000",College Diploma
"Some drugs caused side effects, but I worked with my doctor to adjust.",4.5,7.1,3.3,4.1,4.7,63,Male,White,"< £30,000",Postgraduate
"Clinics give me panic attacks sometimes. I’ve had the same doctor for years, and I feel confident in their care.",3.6,5.2,9.0,7.4,1.2,51,Non-binary,Asian,"< £30,000",University Degree
I often nod even when I don’t understand.,2.3,1.1,6.7,5.0,1.5,64,Male,White,"£30,000-£50,000",Postgraduate
Medical journals help me stay informed about my condition.,9.6,5.8,3.2,5.5,3.7,51,Male,Asian,"> £50,000",High School
I feel lost when reading health information. My physician always listens to me.,1.7,3.5,8.3,5.1,3.2,47,Non-binary,Asian,"< £30,000",Postgraduate
,4.9,1.4,2.5,5.0,1.8,41,Male,Asian,"< £30,000",High School
I don’t get what doctors say most of the time. Clinics give me panic attacks sometimes. I trust my doctor and their advice completely. Medication has been effective in managing my symptoms.,1.4,8.6,9.8,8.1,4.4,32,Non-binary,Not Specified,"< £30,000",High School
I get sweaty palms before appointments. Medication has been effective in managing my symptoms.,3.2,9.6,2.8,9.6,5.0,41,Female,Black,"< £30,000",High School
I feel confident navigating health portals and understanding prescriptions.,7.4,9.8,6.1,3.3,2.7,32,Female,Black,"£30,000-£50,000",University Degree
I get sweaty palms before appointments.,6.3,1.7,6.6,9.8,1.8,70,Male,Not Specified,"£30,000-£50,000",High School
Medical journals help me stay informed about my condition. I feel really anxious before seeing any doctor. Doctors have always helped me recover well.,8.1,9.2,9.5,9.6,3.1,61,Male,Black,"< £30,000",High School
I understand most medical terms and ask informed questions.,9.8,7.8,2.5,5.3,3.9,73,Female,Asian,"£30,000-£50,000",High School
My trust in healthcare professionals is very high.,3.2,6.8,7.0,2.5,3.3,47,Male,Asian,"< £30,000",University Degree
I feel confident navigating health portals and understanding prescriptions.,7.9,5.5,1.1,1.1,2.4,68,Female,Not Specified,"< £30,000",Postgraduate
My doctor uses terminology I understand well.,9.3,3.1,6.7,3.0,2.3,55,Female,Black,"> £50,000",College Diploma
I always research symptoms and medication before appointments.,8.6,7.6,1.9,4.9,1.1,18,Female,White,"< £30,000",University Degree
,5.3,7.0,2.1,3.6,2.6,78,Female,White,"> £50,000",Postgraduate
I understand most medical terms and ask informed questions. Clinics give me panic attacks sometimes.,9.3,9.9,1.4,7.8,2.5,72,Non-binary,Asian,"< £30,000",College Diploma
I feel really anxious before seeing any doctor. I trust my doctor and their advice completely.,4.5,7.8,9.3,9.6,3.3,44,Female,White,"< £30,000",University Degree
,4.2,8.1,3.3,6.1,2.4,76,Male,Not Specified,"£30,000-£50,000",University Degree
I get sweaty palms before appointments.,6.9,3.2,2.7,9.3,1.4,47,Non-binary,White,"> £50,000",High School
,5.6,3.0,1.4,1.3,1.7,26,Non-binary,Other,"< £30,000",High School
"I feel confident navigating health portals and understanding prescriptions. I’ve had the same doctor for years, and I feel confident in their care.",8.8,3.5,9.6,6.2,2.7,45,Non-binary,Black,"< £30,000",University Degree
"I’ve had the same doctor for years, and I feel confident in their care.",6.2,5.7,7.8,3.5,2.4,77,Female,Asian,"£30,000-£50,000",Postgraduate
My doctor uses terminology I understand well. I trust my doctor and their advice completely. Prescription drugs really helped my chronic pain.,9.0,9.5,9.0,4.8,4.1,32,Male,Black,"< £30,000",High School
,5.3,5.5,2.8,6.3,1.7,46,Female,Asian,"£30,000-£50,000",High School
,4.0,8.7,2.9,1.6,1.3,52,Female,Black,"£30,000-£50,000",University Degree
"I feel confident navigating health portals and understanding prescriptions. I get sweaty palms before appointments. After a few trials, I found the right medication for my condition.",9.5,5.6,4.7,8.3,4.3,47,Female,White,"< £30,000",College Diploma
"I’ve had the same doctor for years, and I feel confident in their care.",4.0,7.2,7.9,6.9,1.6,31,Female,Black,"< £30,000",College Diploma
I feel confident navigating health portals and understanding prescriptions.,8.9,5.9,3.5,4.8,1.2,43,Non-binary,White,"> £50,000",University Degree
I feel lost when reading health information.,2.2,7.9,1.0,4.7,3.1,70,Male,White,"£30,000-£50,000",Postgraduate
I don’t get what doctors say most of the time.,1.5,9.8,3.0,3.7,2.2,65,Non-binary,Black,"< £30,000",Postgraduate
Clinics give me panic attacks sometimes. My physician always listens to me.,3.1,1.0,7.6,9.7,1.9,69,Male,White,"< £30,000",High School
I understand most medical terms and ask informed questions. My trust in healthcare professionals is very high.,7.0,7.7,8.6,4.8,2.2,30,Female,Asian,"> £50,000",High School
Doctors have always helped me recover well.,3.9,7.4,8.4,2.6,2.5,34,Male,White,"< £30,000",College Diploma
I always research symptoms and medication before appointments. Visiting the doctor makes me nervous. I trust my doctor and their advice completely.,9.1,8.3,9.9,7.8,2.6,69,Male,White,"£30,000-£50,000",High School
,6.3,6.9,1.7,5.9,3.8,28,Non-binary,Other,"> £50,000",Postgraduate
Medical terms confuse me a lot. I avoid going to hospitals unless absolutely necessary.,2.5,8.0,6.3,9.6,1.2,49,Male,Other,"> £50,000",Postgraduate
"Clinics give me panic attacks sometimes. After a few trials, I found the right medication for my condition.",3.4,6.4,3.7,7.4,4.0,31,Male,Asian,"£30,000-£50,000",Postgraduate
It’s hard to follow what my doctor says. Medication has been effective in managing my symptoms.,1.9,5.6,5.6,4.3,4.7,57,Non-binary,Not Specified,"< £30,000",University Degree
I feel confident navigating health portals and understanding prescriptions. Doctors have always helped me recover well. Prescription drugs really helped my chronic pain.,8.4,7.3,7.4,5.2,4.7,74,Non-binary,Other,"< £30,000",High School
"Medical journals help me stay informed about my condition. I’ve had the same doctor for years, and I feel confident in their care. Medication has been effective in managing my symptoms.",7.3,7.6,8.8,3.5,4.2,44,Male,Not Specified,"< £30,000",High School
It’s hard to follow what my doctor says. I avoid going to hospitals unless absolutely necessary. Prescription drugs really helped my chronic pain.,2.8,4.1,4.0,9.8,4.4,52,Female,Asian,"> £50,000",University Degree
I feel confident navigating health portals and understanding prescriptions. I feel really anxious before seeing any doctor.,7.3,7.5,6.1,9.5,3.0,19,Female,Not Specified,"< £30,000",High School
Clinics give me panic attacks sometimes. I trust my doctor and their advice completely.,4.4,2.5,8.1,7.6,2.5,69,Female,Not Specified,"£30,000-£50,000",College Diploma
Medical terms confuse me a lot. I get sweaty palms before appointments. Medication has been effective in managing my symptoms.,1.2,8.6,1.1,7.3,4.9,33,Non-binary,Black,"£30,000-£50,000",High School
I avoid going to hospitals unless absolutely necessary. My trust in healthcare professionals is very high.,4.9,3.1,7.3,8.4,3.2,40,Male,Black,"< £30,000",University Degree
I understand most medical terms and ask informed questions. Clinics give me panic attacks sometimes. Medication has been effective in managing my symptoms.,9.7,1.5,5.5,7.5,4.5,19,Non-binary,Asian,"> £50,000",College Diploma
I don’t get what doctors say most of the time.,2.6,8.2,6.0,4.6,1.5,52,Female,Black,"£30,000-£50,000",High School
I understand most medical terms and ask informed questions. Medication has been effective in managing my symptoms.,8.8,2.4,3.8,3.6,4.5,21,Male,Not Specified,"< £30,000",High School
I feel confident navigating health portals and understanding prescriptions.,7.1,8.2,3.3,6.6,3.3,18,Female,Not Specified,"< £30,000",College Diploma
My doctor uses terminology I understand well. I get sweaty palms before appointments.,8.5,9.2,1.1,7.1,1.2,63,Male,Asian,"< £30,000",High School
,5.9,3.6,3.8,4.2,3.5,63,Male,White,"> £50,000",University Degree
I have had mostly positive experiences with prescribed medications.,4.0,7.6,4.6,1.6,4.1,79,Male,Asian,"> £50,000",Postgraduate
My physician always listens to me.,3.6,4.9,7.2,4.0,1.2,24,Female,Asian,"£30,000-£50,000",College Diploma
Clinics give me panic attacks sometimes.,4.4,9.5,6.8,7.0,3.5,64,Female,Other,"> £50,000",University Degree
I feel lost when reading health information. My physician always listens to me.,2.8,4.8,7.8,1.9,2.1,63,Non-binary,Not Specified,"£30,000-£50,000",College Diploma
I trust my doctor and their advice completely.,3.5,4.9,9.8,1.6,3.1,42,Female,Asian,"< £30,000",College Diploma
Medical terms confuse me a lot. I have had mostly positive experiences with prescribed medications.,2.6,9.7,2.0,4.6,4.0,78,Non-binary,Not Specified,"£30,000-£50,000",High School
Medical journals help me stay informed about my condition.,7.3,4.8,4.1,4.6,2.1,38,Non-binary,Black,"> £50,000",High School
I often nod even when I don’t understand.,2.8,5.3,3.4,3.6,3.6,27,Female,White,"< £30,000",University Degree
"Medical journals help me stay informed about my condition. After a few trials, I found the right medication for my condition.",9.7,6.4,1.7,1.7,4.8,28,Non-binary,White,"> £50,000",University Degree
,3.7,1.8,6.4,6.6,3.6,34,Male,Black,"> £50,000",High School
I trust my doctor and their advice completely.,3.4,1.1,9.7,3.3,3.7,40,Female,White,"> £50,000",High School
Medical journals help me stay informed about my condition.,7.4,6.5,3.8,3.4,3.4,42,Female,Other,"< £30,000",Postgraduate
I always research symptoms and medication before appointments. Medication has been effective in managing my symptoms.,8.8,9.5,2.0,2.4,4.8,74,Female,Asian,"> £50,000",Postgraduate
I always research symptoms and medication before appointments.,7.6,8.9,2.8,6.3,3.8,68,Non-binary,Black,"< £30,000",Postgraduate
